Rk,Player,HR,Season,Age,Team,Lg,G,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999
255,Zach Neto,9,2023,22,LAA,AL,84,329,289,38,65,39,17,0,9,34,5,1,20,77,.225,.308,.377,.685,86,109,5,16,1,3,0,6/H,netoza01
256,Tyler O'Neill,9,2023,28,STL,NL,72,266,238,27,55,32,14,0,9,21,5,0,28,67,.231,.312,.403,.715,94,96,5,0,0,0,0,78/HD,oneilty01
257,Vinnie Pasquantino,9,2023,25,KCR,AL,61,260,231,24,57,31,17,0,9,26,0,0,25,31,.247,.324,.437,.762,108,101,7,2,0,1,2,3D/H,pasquvi01
258,Kevin Pillar,9,2023,34,ATL,NL,81,206,197,29,45,26,10,0,9,32,4,1,6,50,.228,.248,.416,.664,74,82,2,0,0,3,0,7H9/8,pillake01
259,Jurickson Profar,9,2023,30,COLSDP,NL,125,521,459,55,111,73,27,2,9,46,1,0,50,90,.242,.321,.368,.689,80,169,11,6,0,5,0,7DH/394,profaju01
260,Matt Thaiss,9,2023,28,LAA,AL,95,307,262,32,56,41,6,0,9,31,2,0,36,83,.214,.319,.340,.659,80,89,4,6,0,3,1,2H/D3,thaisma01
261,Alek Thomas,9,2023,23,ARI,NL,125,402,374,51,86,55,17,5,9,39,9,1,19,86,.230,.273,.374,.647,75,140,5,4,2,3,1,*8H/D,thomaal01
262,Mark Vientos,9,2023,23,NYM,NL,65,233,218,19,46,31,5,1,9,22,1,0,10,71,.211,.253,.367,.620,69,80,5,3,0,2,0,D53/H,vientma01
263,Connor Wong,9,2023,27,BOS,AL,126,403,371,55,87,51,25,2,9,36,8,2,22,134,.235,.288,.385,.673,80,143,4,6,3,1,0,*2H/4D,wongco01
264,Charlie Blackmon,8,2023,36,COL,NL,96,413,359,57,100,63,24,5,8,40,4,1,39,55,.279,.363,.440,.803,107,158,6,11,0,4,0,D9/H,blackch02
265,Alec Burleson,8,2023,24,STL,NL,107,347,315,34,77,48,20,1,8,36,3,1,23,45,.244,.300,.390,.691,87,123,13,3,1,2,0,7DH39/1,burleal01
266,Alex Call,8,2023,28,WSN,NL,128,439,375,43,75,52,14,1,8,38,9,8,53,78,.200,.307,.307,.614,72,115,1,6,3,2,0,*87/9H,callal02
267,Jarren Duran,8,2023,26,BOS,AL,102,362,332,46,98,54,34,2,8,40,24,2,24,90,.295,.346,.482,.828,121,160,3,3,0,2,1,87H/9D,duranja01
268,Yasmani Grandal,8,2023,34,CHW,AL,118,405,363,33,85,63,14,0,8,33,0,0,36,86,.234,.309,.339,.647,77,123,11,4,0,2,1,2HD/3,grandya01
269,Aaron Hicks,8,2023,33,BALNYY,AL,93,312,269,44,68,50,9,1,8,36,6,0,42,69,.253,.353,.383,.735,106,103,3,0,0,1,1,879H/D,hicksaa01
270,Kevin Kiermaier,8,2023,33,TOR,AL,129,408,370,58,98,63,21,6,8,36,14,1,29,86,.265,.322,.419,.741,104,155,9,4,1,4,0,*8/HD,kiermke01
271,Alejandro Kirk,8,2023,24,TOR,AL,123,422,372,34,93,69,16,0,8,43,0,0,42,45,.250,.334,.358,.692,93,133,21,6,0,2,1,2HD,kirkal01
272,Trevor Larnach,8,2023,26,MIN,AL,58,212,183,26,39,21,7,3,8,40,1,1,27,72,.213,.311,.415,.727,98,76,2,0,0,2,1,79/HD,larnatr01
273,Nick Maton,8,2023,26,DET,AL,93,293,249,29,43,26,9,0,8,32,1,2,38,73,.173,.288,.305,.593,63,76,4,3,1,2,1,54HD/6,matonni01
274,Tom Murphy,8,2023,32,SEA,AL,47,159,145,19,42,22,12,0,8,17,0,0,10,44,.290,.335,.538,.873,142,78,4,1,0,2,0,2/DH,murphto04
275,Davis Schneider,8,2023,24,TOR,AL,35,141,116,23,32,11,12,1,8,20,1,0,21,43,.276,.404,.603,1.008,175,70,2,4,0,0,0,4/D57H,schneda03
276,Mike Tauchman,8,2023,32,CHC,NL,108,401,337,64,85,59,18,0,8,48,7,1,56,86,.252,.363,.377,.739,100,127,3,4,1,3,1,8HD9/7,tauchmi01
277,Taylor Walls,8,2023,26,TBR,AL,99,349,303,50,61,39,12,2,8,36,22,1,44,92,.201,.305,.333,.638,79,101,1,1,1,0,0,546/H,wallsta01
278,Drew Waters,8,2023,24,KCR,AL,98,337,302,40,69,45,11,5,8,32,16,5,27,107,.228,.300,.377,.677,85,114,4,5,0,3,0,89/D7H,waterdr01
279,Harrison Bader,7,2023,29,CINNYY,ALNL,98,344,319,44,74,53,12,2,7,40,20,3,17,59,.232,.274,.348,.622,69,111,7,3,1,4,0,8/HD,baderha01
280,Patrick Bailey,7,2023,24,SFG,NL,97,353,326,29,76,50,18,1,7,48,1,0,21,100,.233,.285,.359,.644,77,117,8,3,2,1,0,2/HD,bailepa01
281,Jon Berti,7,2023,33,MIA,NL,133,424,388,53,114,88,16,3,7,33,16,6,29,77,.294,.344,.405,.748,103,157,10,2,2,3,2,65H74/9D,bertijo01
282,Luis Campusano,7,2023,24,SDP,NL,49,174,163,27,52,38,7,0,7,30,0,0,7,21,.319,.356,.491,.847,134,80,8,3,0,1,0,2/DH,campulu01
283,Víctor Caratini,7,2023,29,MIL,NL,62,226,201,23,52,41,4,0,7,25,1,1,19,45,.259,.327,.383,.711,95,77,8,3,0,3,0,2/HD3,caratvi01
284,Brandon Crawford,7,2023,36,SFG,NL,93,320,283,31,55,36,11,1,7,38,3,0,28,81,.194,.273,.314,.587,63,89,5,4,1,4,1,6/H1,crawfbr01
285,Henry Davis,7,2023,23,PIT,NL,62,255,225,27,48,31,10,0,7,24,3,5,25,69,.213,.302,.351,.653,78,79,3,4,0,1,2,9D/2H,davishe01
286,Jorge Mateo,7,2023,28,BAL,AL,116,350,318,58,69,46,14,2,7,34,32,5,22,82,.217,.267,.340,.607,70,108,8,1,5,3,0,*6H/8D,mateojo01
287,Dylan Moore,7,2023,30,SEA,AL,67,165,145,18,30,13,9,1,7,19,7,3,16,56,.207,.303,.428,.731,104,62,1,4,0,0,0,H47/6D9385,mooredy01
288,Gabriel Moreno,7,2023,23,ARI,NL,111,380,341,33,97,70,19,1,7,50,6,2,29,75,.284,.339,.408,.747,104,139,17,3,0,7,0,2H/D,morenga01
289,Liover Peguero,7,2023,22,PIT,NL,59,213,198,21,47,35,4,1,7,26,6,2,11,67,.237,.280,.374,.653,77,74,6,1,2,1,0,64,pegueli01
290,David Peralta,7,2023,35,LAD,NL,133,422,394,47,102,69,25,1,7,55,4,1,20,72,.259,.294,.381,.675,81,150,8,2,0,6,1,*7H9/D,peralda01
291,Nick Pratto,7,2023,24,KCR,AL,95,345,306,33,71,48,16,0,7,35,1,1,29,138,.232,.307,.353,.660,82,108,3,6,0,4,0,37/H9,prattni01
292,Zack Short,7,2023,28,DET,AL,110,253,221,17,45,29,9,0,7,33,5,0,28,66,.204,.292,.339,.631,73,75,3,0,3,1,0,465H/189D,shortza01
293,Pavin Smith,7,2023,27,ARI,NL,69,228,191,26,36,24,5,0,7,30,1,1,35,45,.188,.317,.325,.642,77,62,3,1,0,0,0,D9H3,smithpa04
294,Miguel Vargas,7,2023,23,LAD,NL,81,304,256,36,50,24,15,4,7,32,3,2,38,61,.195,.305,.367,.672,81,94,1,4,1,4,1,4H/3D,vargami01
295,Chad Wallach,7,2023,31,LAA,AL,65,172,157,18,31,18,5,1,7,15,0,1,13,57,.197,.259,.376,.635,70,59,5,0,2,0,0,2/HD3,wallach01
296,Seby Zavala,7,2023,29,ARICHW,ALNL,73,193,175,17,30,19,4,0,7,18,1,0,12,70,.171,.230,.314,.545,47,55,4,2,2,2,0,2/H1,zavalse01
297,Elvis Andrus,6,2023,34,CHW,AL,112,406,374,39,94,67,20,1,6,44,12,4,25,71,.251,.304,.358,.662,81,134,11,4,1,2,1,46/H5D,andruel01
298,Kole Calhoun,6,2023,35,CLE,AL,43,174,157,18,34,21,7,0,6,25,0,1,13,37,.217,.282,.376,.657,82,59,3,2,0,2,0,3D/9H,calhoko01
299,Dominic Canzone,6,2023,25,ARISEA,ALNL,59,182,173,23,38,19,13,0,6,21,1,0,8,32,.220,.258,.399,.657,81,69,5,1,0,0,0,7DH9,canzodo01
300,Rodolfo Castro,6,2023,24,PHIPIT,NL,92,256,227,21,48,35,7,0,6,24,1,4,23,74,.211,.297,.322,.618,70,73,4,5,0,1,1,46H5/D,castrro01
301,Yu Chang,6,2023,27,BOS,AL,39,112,105,12,17,9,2,0,6,18,4,0,3,34,.162,.200,.352,.552,45,37,2,2,2,0,0,6/4H35D,changyu01
302,Ji Man Choi,6,2023,32,PITSDP,NL,39,117,104,12,17,6,5,0,6,13,0,0,10,35,.163,.239,.385,.624,68,40,2,1,0,2,0,D3/H,choiji01
303,Franchy Cordero,6,2023,28,NYY,AL,24,71,69,9,13,5,2,0,6,13,0,0,2,25,.188,.211,.478,.690,81,33,0,0,0,0,0,9/7H,cordefr02
304,Eduardo Escobar,6,2023,34,LAANYM,ALNL,99,309,288,32,65,48,6,5,6,31,2,1,18,78,.226,.269,.344,.613,67,99,7,0,1,2,0,54H/D316,escobed01
305,Nick Fortes,6,2023,26,MIA,NL,108,323,294,33,60,44,10,0,6,26,4,2,17,59,.204,.263,.299,.562,52,88,12,7,3,2,0,2H/D,forteni01
306,Mitch Haniger,6,2023,32,SFG,NL,61,229,211,27,44,24,13,1,6,28,1,0,15,65,.209,.266,.365,.631,73,77,7,2,0,1,0,79/HD,hanigmi01
307,Corey Julks,6,2023,27,HOU,AL,93,323,298,35,73,53,14,0,6,33,15,3,22,75,.245,.297,.352,.650,79,105,6,1,0,2,0,7DH/9,julksco01
308,Isiah Kiner-Falefa,6,2023,28,NYY,AL,113,361,326,39,79,60,12,1,6,37,14,5,28,70,.242,.306,.340,.646,78,111,12,3,1,3,0,875H/9146,kineris01
309,Luke Maile,6,2023,32,CIN,NL,74,199,179,17,42,26,10,0,6,25,2,1,14,49,.235,.308,.391,.699,87,70,8,5,1,0,0,2/1HD,mailelu01
310,Nick Martini,6,2023,33,CIN,NL,29,79,72,10,19,9,3,1,6,16,0,0,5,15,.264,.329,.583,.912,139,42,1,2,0,0,0,7HD/39,martini02
311,James McCann,6,2023,33,BAL,AL,69,226,207,25,46,26,14,0,6,26,3,1,9,57,.222,.269,.377,.646,79,78,5,5,3,2,0,2/DH31,mccanja02
312,Billy McKinney,6,2023,28,NYY,AL,48,147,128,19,29,19,3,1,6,14,1,0,17,39,.227,.320,.406,.726,98,52,1,1,0,1,1,79/8H3,mckinbi01
313,Richie Palacios,6,2023,26,STL,NL,32,102,93,9,24,12,6,0,6,16,2,0,6,11,.258,.307,.516,.823,120,48,1,1,1,1,0,7/8HD94,palacri01
314,Geraldo Perdomo,6,2023,23,ARI,NL,144,495,407,71,100,70,20,4,6,47,16,4,64,86,.246,.353,.359,.712,96,146,2,6,14,4,1,*645H,perdoge01
315,Carlos Pérez,6,2023,32,OAK,AL,66,189,168,17,38,28,4,0,6,20,0,0,13,40,.226,.293,.357,.650,85,60,4,4,1,3,0,2H3D/17,perezca02
316,Jace Peterson,6,2023,33,ARIOAK,ALNL,133,430,374,35,79,59,10,4,6,37,15,2,47,101,.211,.304,.307,.611,75,115,7,4,2,3,2,*5H4/D137,peterja01
317,René Pinto,6,2023,26,TBR,AL,38,105,103,10,26,17,3,0,6,16,0,0,2,34,.252,.267,.456,.723,97,47,2,0,0,0,0,2/1,pintore02
318,Amed Rosario,6,2023,27,CLELAD,ALNL,142,545,510,70,134,95,25,8,6,58,15,2,29,99,.263,.305,.378,.683,89,193,15,3,0,3,0,64H/D,rosaram01
319,Josh H. Smith,6,2023,25,TEX,AL,90,232,195,29,36,21,8,1,6,15,1,0,25,55,.185,.304,.328,.633,73,64,3,9,2,1,0,657H/D4,smithjo11
320,Lenyn Sosa,6,2023,23,CHW,AL,52,173,164,12,33,21,6,0,6,14,0,1,5,40,.201,.224,.348,.571,53,57,3,0,3,1,1,45/H,sosale01
321,Trayce Thompson,6,2023,32,CHWLAD,ALNL,72,179,153,17,25,17,2,0,6,17,2,0,24,77,.163,.285,.294,.579,58,45,1,2,0,0,0,8H97/D,thomptr01
322,Brice Turang,6,2023,23,MIL,NL,137,448,404,46,88,70,9,3,6,34,26,4,38,94,.218,.285,.300,.585,62,121,9,1,3,2,1,*46H/D,turanbr02
323,Enmanuel Valdéz,6,2023,24,BOS,AL,49,149,139,17,37,23,8,0,6,19,5,1,8,37,.266,.311,.453,.764,103,63,4,1,0,0,0,4/H6D,valdeen01
324,Christian Vázquez,6,2023,32,MIN,AL,102,355,327,34,73,54,13,0,6,32,1,0,25,82,.223,.280,.318,.598,65,104,11,1,1,1,1,2/3H4D,vazquch01
325,Jesús Aguilar,5,2023,33,OAK,AL,36,115,104,8,23,16,2,0,5,9,0,0,8,31,.221,.281,.385,.665,89,40,3,1,0,1,2,3/DH,aguilje01
326,Miguel Amaya,5,2023,24,CHC,NL,53,156,131,17,28,19,4,0,5,18,0,0,12,40,.214,.329,.359,.688,86,47,2,11,1,1,0,2/DH,amayami01
327,Andrew Benintendi,5,2023,28,CHW,AL,151,621,562,72,147,106,34,2,5,45,13,2,52,89,.262,.326,.356,.682,87,200,12,3,1,3,5,*7/HD,beninan01
328,Will Brennan,5,2023,25,CLE,AL,138,455,432,41,115,86,24,0,5,41,13,5,16,57,.266,.299,.356,.655,83,154,4,5,0,2,2,*9H8/7D,brennwi02
329,Oswaldo Cabrera,5,2023,24,NYY,AL,115,330,298,35,63,47,11,0,5,29,8,0,25,72,.211,.275,.299,.574,58,89,6,2,3,2,1,795H/46D38,cabreos01
330,Willie Calhoun,5,2023,28,NYY,AL,44,149,134,16,32,20,7,0,5,16,0,0,14,20,.239,.309,.403,.712,94,54,2,0,0,1,1,D/9H7,calhowi01
331,Dylan Carlson,5,2023,24,STL,NL,76,255,219,27,48,34,8,1,5,27,3,0,26,49,.219,.318,.333,.651,79,73,4,7,0,3,0,89/H7D,carlsdy01
332,Matt Carpenter,5,2023,37,SDP,NL,76,237,188,18,33,16,12,0,5,31,1,0,41,67,.176,.322,.319,.641,81,60,2,2,0,5,0,DH3,carpema01
333,Evan Carter,5,2023,20,TEX,AL,23,75,62,15,19,9,4,1,5,12,3,0,12,24,.306,.413,.645,1.058,182,40,1,0,0,1,1,7/89H,carteev01
334,Jake Cave,5,2023,30,PHI,NL,65,203,184,18,39,25,8,1,5,21,3,0,15,55,.212,.272,.348,.620,69,64,3,1,1,2,0,739/H8D,caveja01
335,Óscar Colás,5,2023,24,CHW,AL,75,263,245,32,53,39,9,0,5,19,4,3,12,71,.216,.257,.314,.571,55,77,5,2,2,2,1,9/8HD,colasos01
336,Nelson Cruz,5,2023,42,SDP,NL,49,152,143,9,35,24,5,1,5,23,1,0,6,46,.245,.283,.399,.681,88,57,2,2,0,1,1,DH/3,cruzne02
337,Stuart Fairchild,5,2023,27,CIN,NL,97,255,219,34,50,27,16,2,5,28,10,3,25,69,.228,.321,.388,.710,90,85,2,6,3,2,0,798H/D,faircst01
338,Kyle Isbel,5,2023,26,KCR,AL,91,313,292,45,70,41,22,2,5,34,7,1,17,59,.240,.282,.380,.662,80,111,5,1,1,2,0,8/HD,isbelky01
339,Tony Kemp,5,2023,31,OAK,AL,124,419,359,42,75,54,13,3,5,27,15,4,44,40,.209,.303,.304,.607,76,109,9,6,7,3,0,74H/D,kempto01
340,Steven Kwan,5,2023,25,CLE,AL,158,718,638,93,171,123,36,7,5,54,21,3,70,75,.268,.340,.370,.710,100,236,9,3,1,6,2,*7/DH,kwanst01
341,Starling Marte,5,2023,34,NYM,NL,86,341,315,38,78,65,7,1,5,28,24,4,16,69,.248,.301,.324,.625,73,102,8,8,2,0,1,9/H8,martest01
342,Francisco Mejía,5,2023,27,TBR,AL,50,160,150,22,34,18,11,0,5,19,0,1,6,38,.227,.258,.400,.658,80,60,2,1,1,2,0,2/H,mejiafr01
343,Owen Miller,5,2023,26,MIL,NL,90,314,291,29,76,54,17,0,5,27,13,2,17,61,.261,.303,.371,.674,84,108,6,2,0,4,1,435H/7D9,milleow01
344,AJ Pollock,5,2023,35,SEASFG,ALNL,54,144,133,15,22,13,4,0,5,15,0,1,9,32,.165,.215,.308,.524,46,41,1,0,0,2,0,7DH/89,polloaj01
345,Miguel Rojas,5,2023,34,LAD,NL,124,423,385,49,91,69,16,1,5,31,8,3,26,48,.236,.290,.322,.612,66,124,12,5,2,5,0,*6H/1D45,rojasmi02
346,Esteury Ruiz,5,2023,24,OAK,AL,132,497,449,47,114,84,24,1,5,47,67,13,20,99,.254,.309,.345,.654,88,155,7,16,4,1,1,*87H9/D,ruizes01
347,Casey Schmitt,5,2023,24,SFG,NL,90,277,253,28,52,32,15,0,5,30,2,1,13,65,.206,.255,.324,.580,60,82,7,5,3,3,0,654H,schmica01
348,Austin Slater,5,2023,30,SFG,NL,89,207,185,24,50,36,9,0,5,20,2,2,20,58,.270,.348,.400,.748,107,74,2,2,0,0,0,H87/9D,slateau01
349,Kevin Smith,5,2023,26,OAK,AL,49,146,135,15,25,16,4,0,5,11,1,0,5,51,.185,.220,.326,.546,54,44,3,1,5,0,0,65/HD,smithke05
350,Donovan Solano,5,2023,35,MIN,AL,134,450,394,43,111,79,26,1,5,38,0,0,40,100,.282,.369,.391,.760,110,154,8,15,0,1,1,3H45D,solando01
351,David Villar,5,2023,26,SFG,NL,46,140,124,15,18,7,6,0,5,12,1,1,11,45,.145,.236,.315,.550,51,39,1,4,0,1,0,45/3HD1,villada01
352,Riley Adams,4,2023,27,WSN,NL,44,158,143,8,39,20,13,2,4,21,0,0,11,45,.273,.331,.476,.807,120,68,5,2,1,1,0,2/HD,adamsri03
353,Nick Allen,4,2023,24,OAK,AL,106,329,303,29,67,57,4,2,4,20,5,1,17,52,.221,.263,.287,.550,58,87,8,1,6,2,0,6/H4D,allenni02
354,Miguel Andújar,4,2023,28,PIT,NL,30,90,84,9,21,10,7,0,4,18,2,0,6,13,.250,.300,.476,.776,108,40,1,0,0,0,0,9/HD7,andujmi01
355,Sean Bouchard,4,2023,27,COL,NL,21,43,38,11,12,6,2,0,4,7,0,1,4,14,.316,.372,.684,1.056,165,26,0,0,0,1,0,9/H7D,bouchse01
356,Mike Brosseau,4,2023,29,MIL,NL,29,78,73,4,15,9,2,0,4,8,0,0,4,20,.205,.256,.397,.654,76,29,2,1,0,0,0,5/H31D4,brossmi01
357,Lawrence Butler,4,2023,22,OAK,AL,42,129,123,10,26,18,4,0,4,10,0,0,4,35,.211,.240,.341,.582,64,42,5,1,0,1,0,8/H9,butlela01
358,José Caballero,4,2023,26,SEA,AL,104,280,231,37,51,37,9,1,4,26,26,3,28,66,.221,.343,.320,.663,90,74,0,17,0,4,0,4H6/5D7,cabaljo01
359,Miguel Cabrera,4,2023,40,DET,AL,98,370,334,21,86,62,20,0,4,34,0,0,31,74,.257,.322,.353,.675,86,118,11,2,0,3,0,D/H3,cabremi01
360,Kody Clemens,4,2023,27,PHI,NL,47,148,139,15,32,21,7,0,4,13,0,0,8,40,.230,.277,.367,.644,75,51,1,1,0,0,0,3/H1D69,clemeko01
361,Aledmys Díaz,4,2023,32,OAK,AL,109,344,315,25,72,47,20,1,4,24,1,0,17,66,.229,.280,.337,.616,76,106,14,7,1,4,2,56H743/D,diazal02
362,Jasson Domínguez,4,2023,20,NYY,AL,8,33,31,6,8,3,1,0,4,7,1,0,2,8,.258,.303,.677,.980,158,21,1,0,0,0,0,/8,dominja01
363,Tyler Freeman,4,2023,24,CLE,AL,64,168,153,20,37,26,7,0,4,18,5,0,10,30,.242,.295,.366,.661,84,56,3,2,2,1,0,5H46D/37,freemty01
364,David Fry,4,2023,27,CLE,AL,57,113,101,12,24,14,6,0,4,15,2,0,8,30,.238,.319,.416,.734,104,42,3,4,0,0,0,23H/917D5,fryda01
365,Maikel García,4,2023,23,KCR,AL,123,515,464,59,126,98,20,4,4,50,23,7,38,115,.272,.323,.358,.681,88,166,9,2,1,10,0,56/D4H,garcima01
366,Yuli Gurriel,4,2023,39,MIA,NL,108,329,298,32,73,50,16,3,4,27,4,0,26,44,.245,.304,.359,.663,79,107,13,1,0,4,3,3H/D,gourryu01
367,Eric Haase,4,2023,30,CLEDET,AL,89,293,274,22,55,42,8,1,4,26,4,1,17,81,.201,.247,.281,.528,45,77,11,0,1,1,1,27H/D9,haaseer01
368,Carter Kieboom,4,2023,25,WSN,NL,27,94,87,12,18,12,2,0,4,11,0,0,6,27,.207,.266,.368,.634,74,32,2,1,0,0,0,5/HD,kieboca01
369,Trey Mancini,4,2023,31,CHC,NL,79,263,235,31,55,39,12,0,4,28,0,0,21,78,.234,.299,.336,.635,71,79,5,2,0,3,1,3DH/9,mancitr01
370,Manuel Margot,4,2023,28,TBR,AL,99,336,311,39,82,56,21,1,4,38,9,3,18,55,.264,.310,.376,.686,91,117,6,4,0,3,0,89H,margoma01
371,Rougned Odor,4,2023,29,SDP,NL,59,157,138,21,28,15,9,0,4,18,2,1,17,37,.203,.299,.355,.654,83,49,2,2,0,0,0,4H/59D3,odorro01
372,Blake Perkins,4,2023,26,MIL,NL,67,168,143,28,31,20,7,0,4,20,5,2,23,46,.217,.325,.350,.675,86,50,3,0,2,0,0,98H7/D,perkibl01
373,Emmanuel Rivera,4,2023,27,ARI,NL,86,283,257,32,67,50,13,0,4,29,1,0,22,56,.261,.314,.358,.672,84,92,9,0,0,4,0,5H3/D,riverem01
374,Brendan Rodgers,4,2023,26,COL,NL,46,192,178,21,46,32,9,1,4,20,0,0,11,41,.258,.313,.388,.700,80,69,6,3,0,0,0,4/DH,rodgebr02
375,Josh Rojas,4,2023,29,ARISEA,ALNL,105,350,314,47,77,56,17,0,4,40,12,0,27,81,.245,.303,.338,.641,78,106,3,1,2,4,0,45H/D17,rojasjo01
376,Michael Toglia,4,2023,24,COL,NL,45,152,141,18,23,14,5,0,4,9,1,1,10,50,.163,.224,.284,.507,30,40,3,1,0,0,0,39/H7D,toglimi01
377,Alan Trejo,4,2023,27,COL,NL,82,227,207,24,48,33,11,0,4,26,5,1,16,51,.232,.288,.343,.631,63,71,3,1,1,2,0,45H/61D,trejoal01
378,Jose Trevino,4,2023,30,NYY,AL,55,168,157,15,33,25,4,0,4,15,0,0,8,22,.210,.257,.312,.570,56,49,6,2,1,0,0,2/H,trevijo01
379,Ramón Urías,4,2023,29,BAL,AL,116,396,360,45,95,66,22,3,4,42,3,1,27,101,.264,.328,.375,.703,98,135,10,8,0,1,0,543H/D,uriasra01
380,Ildemaro Vargas,4,2023,31,WSN,NL,86,286,262,32,66,47,13,2,4,31,1,1,19,20,.252,.304,.363,.666,84,95,10,1,3,1,0,546H7/19,vargail01
381,Jared Walsh,4,2023,29,LAA,AL,39,116,104,10,13,5,4,0,4,11,0,0,11,45,.125,.216,.279,.494,33,29,1,1,0,0,0,3/9HD,walshja01
382,Austin Wells,4,2023,23,NYY,AL,19,75,70,8,16,6,6,0,4,13,0,0,3,14,.229,.257,.486,.742,97,34,3,0,0,1,0,2/H,wellsau01
383,Kolten Wong,4,2023,32,LADSEA,ALNL,87,250,224,25,41,31,6,0,4,27,3,2,18,53,.183,.256,.263,.519,47,59,1,5,0,3,0,4H/D,wongko01
384,Jo Adell,3,2023,24,LAA,AL,17,62,58,7,12,5,3,1,3,6,1,0,4,25,.207,.258,.448,.706,87,26,1,0,0,0,0,/987DH,adelljo01
385,Hanser Alberto,3,2023,30,CHW,AL,30,90,82,11,18,10,5,0,3,16,0,0,4,13,.220,.261,.390,.652,75,32,1,1,2,1,0,54/13H,alberha01
386,Jonathan Araúz,3,2023,24,NYM,NL,27,66,59,3,8,5,0,0,3,9,0,0,5,18,.136,.203,.288,.491,34,17,1,0,2,0,0,5/46H,arauzjo01
387,Christian Arroyo,3,2023,28,BOS,AL,66,206,195,23,47,28,16,0,3,24,1,3,7,45,.241,.268,.369,.638,70,72,8,1,1,2,0,4/H56,arroych01
388,Dairon Blanco,3,2023,30,KCR,AL,69,138,124,19,32,18,7,4,3,18,24,5,10,33,.258,.324,.452,.775,111,56,2,2,2,0,0,79H/8D,blancda02
389,Sal Frelick,3,2023,23,MIL,NL,57,223,191,29,47,34,9,1,3,24,7,0,28,37,.246,.341,.351,.692,91,67,2,1,0,3,0,98/H7D,frelisa01
390,Avisaíl García,3,2023,32,MIA,NL,37,118,108,8,20,13,3,1,3,12,2,0,6,39,.185,.241,.315,.556,50,34,1,2,0,0,1,97/HD8,garciav01
391,Romy González,3,2023,26,CHW,AL,44,97,93,11,18,9,4,2,3,14,7,0,2,36,.194,.208,.376,.585,55,35,0,0,1,1,0,4H/9D7658,gonzaro01
392,Garrett Hampson,3,2023,28,MIA,NL,98,252,221,30,61,45,12,1,3,23,5,0,23,67,.276,.349,.380,.729,98,84,3,3,3,2,0,689H47/5D,hampsga01
393,Sam Hilliard,3,2023,29,ATL,NL,40,78,72,15,17,9,5,0,3,6,4,0,6,33,.236,.295,.431,.725,92,31,1,0,0,0,0,8H/79D,hillisa01
394,Sam Huff,3,2023,25,TEX,AL,21,45,43,5,11,6,2,0,3,6,0,0,2,17,.256,.289,.512,.801,112,22,1,0,0,0,0,2/D3H,huffsa01
395,Tucupita Marcano,3,2023,23,PIT,NL,75,220,202,16,47,30,12,2,3,18,5,2,10,35,.233,.276,.356,.633,72,72,2,3,3,2,0,64H/5D,marcatu01
396,Cade Marlowe,3,2023,26,SEA,AL,34,100,88,14,21,13,3,2,3,11,4,2,12,33,.239,.330,.420,.750,111,37,1,0,0,0,0,7/H89D,marloca01
397,Noelvi Marté,3,2023,21,CIN,NL,35,123,114,15,36,26,7,0,3,15,6,2,8,25,.316,.366,.456,.822,120,52,1,1,0,0,0,5/6HD4,marteno01
398,Parker Meadows,3,2023,23,DET,AL,37,145,125,19,29,20,4,2,3,13,8,1,17,37,.232,.331,.368,.699,92,46,0,2,0,1,1,8/DH,meadopa01
399,Matt Mervis,3,2023,25,CHC,NL,27,99,90,8,15,10,2,0,3,11,0,0,8,32,.167,.242,.289,.531,43,26,1,1,0,0,0,3/H,mervima01
400,José Miranda,3,2023,25,MIN,AL,40,152,142,12,30,23,4,0,3,13,0,0,9,24,.211,.263,.303,.566,56,43,8,1,0,0,0,5/D3H,miranjo01
401,Garrett Mitchell,3,2023,24,MIL,NL,19,73,65,10,16,10,2,1,3,7,1,1,7,26,.246,.315,.446,.761,106,29,0,0,0,1,0,8/H,mitchga01
402,Andruw Monasterio,3,2023,26,MIL,NL,92,315,282,38,73,55,14,1,3,27,7,2,28,66,.259,.330,.348,.678,87,98,9,3,0,2,0,54/H6D,monasan01
403,Wil Myers,3,2023,32,CIN,NL,37,141,127,11,24,18,3,0,3,12,2,1,12,48,.189,.257,.283,.541,46,36,3,0,1,1,0,93/DH,myerswi01
404,Kevin Newman,3,2023,29,CIN,NL,74,253,225,28,57,38,16,0,3,28,8,1,17,34,.253,.311,.364,.675,81,82,7,4,2,5,0,564H/3D,newmake01
405,Brett Phillips,3,2023,29,LAA,AL,39,71,63,9,11,7,1,0,3,6,3,1,8,36,.175,.268,.333,.601,63,21,0,0,0,0,0,8H/971D,phillbr02
406,Alfonso Rivas,3,2023,26,PITSDP,NL,48,123,109,8,25,11,10,1,3,15,1,0,9,36,.229,.303,.422,.725,97,46,1,3,1,1,0,3/H7,rivasal01
407,Endy Rodríguez,3,2023,23,PIT,NL,57,204,186,27,41,29,7,2,3,13,0,0,17,49,.220,.284,.328,.612,67,61,3,0,0,1,0,2H/3D,rodrien01
